line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
30015,20,名鉄犬山線,メイテツイヌヤマセン,名鉄犬山線,#018b44,,,136.8898647269530,35.31165711367210,11,0,30015
30016,20,名鉄各務原線,メイテツカカミガハラセン,名鉄各務原線,#018b44,,,136.85325381483700,35.403204284488100,12,0,30016
30017,20,名鉄広見線,メイテツヒロミセン,名鉄広見線,#018b44,,,137.02897624906300,35.417841533605600,12,0,30017
30018,20,名鉄小牧線,メイテツコマキセン,名鉄小牧線,#da5290,,,136.93961329366300,35.296313523646900,12,0,30018
30019,20,犬山モノレール,イヌヤマモノレール,名鉄モンキーパークモノレール線,#018b44,,,136.9511614973590,35.39061782333850,15,2,30019
30020,20,名鉄竹鼻線,メイテツタケハナセン,名鉄竹鼻線,#d7a629,,,136.73250305295300,35.349351079860900,13,0,30020
30021,20,名鉄羽島線,メイテツハシマセン,名鉄羽島線,#d7a629,,,136.693134,35.314049762389700,14,0,30021
31001,21,近鉄難波線,キンテツナンバセン,近鉄難波線,#d21644,,,135.52715820898400,34.663363778757,12,0,31001
31002,21,近鉄橿原線,キンテツカシハラセン,近鉄橿原線,#fab202,,,135.78551050388000,34.59665269430810,11,0,31002
31003,21,近鉄南大阪線,キンテツミナミオオサカセン,近鉄南大阪線,#028e46,,,135.65305195786700,34.57245204572050,11,0,31003
31004,21,近鉄養老線,キンテツヨウロウセン,近鉄養老線,,,,136.63201242347100,35.2592322194577,10,2,31004
31005,21,近鉄大阪線,キンテツオオサカセン,近鉄大阪線,#4694d1,,,135.8720539759080,34.61556505000010,10,0,31005
31006,21,近鉄伊賀線,キンテツイガセン,近鉄伊賀線,,,,136.13928274337000,34.733360528717500,12,2,31006
31007,21,近鉄吉野線,キンテツヨシノセン,近鉄吉野線,#028e46,,,135.79450404101600,34.429439678711300,12,0,31007
31008,21,近鉄湯の山線,キンテツユノヤマセン,近鉄湯の山線,#153f97,,,136.54436416347700,34.99419291150190,12,0,31008
31009,21,近鉄山田線,キンテツヤマダセン,近鉄山田線,#00b3c1,,,136.5903377935230,34.569800408478400,11,0,31009
31010,21,近鉄鳥羽線,キンテツトバセン,近鉄鳥羽線,#00b3c1,,,136.77274584550800,34.48381020039480,12,0,31010
31011,21,近鉄天理線,キンテツテンリセン,近鉄天理線,#fab202,,,135.8037012407230,34.602763000000000,13,0,31011
31012,21,近鉄道明寺線,キンテツドウミョウジセン,近鉄道明寺線,#028e46,,,135.6220293597850,34.58011802058420,14,0,31012
31015,21,近鉄志摩線,キンテツシマセン,近鉄志摩線,#00b3c1,,,136.8269031044920,34.40319761450660,11,0,31015
31016,21,近鉄生駒線,キンテツイコマセン,近鉄生駒線,#d21644,,,135.70291861506800,34.65409575465720,13,0,31016
31017,21,近鉄田原本線,キンテツタワラモトセン,近鉄田原本線,#fab202,,,135.7435140383300,34.57463758454630,13,0,31017
31018,21,近鉄御所線,キンテツゴセセン,近鉄御所線,#028e46,,,135.72487327246100,34.48800185298250,13,0,31018
31019,21,近鉄鈴鹿線,キンテツスズカセン,近鉄鈴鹿線,#153f97,,,136.5827957820310,34.877984989431200,13,0,31019
31020,21,近鉄奈良線,キンテツナラセン,近鉄奈良線,#d21644,,,135.6903788327520,34.68769268005340,11,0,31020
31021,21,近鉄信貴線,キンテツシギセン,近鉄信貴線,#4694d1,,,135.63263404760700,34.62506251662150,14,0,31021
31022,21,近鉄長野線,キンテツナガノセン,近鉄長野線,#028e46,,,135.59867586181600,34.50049474841640,12,0,31022
31023,21,近鉄けいはんな線,キンテツケイハンナセン,近鉄けいはんな線, #32CD32,,,135.67586383007800,34.69894594010990,12,0,31023
31024,21,西信貴ケーブル,ニシシギケーブル,近鉄西信貴鋼索線,#dd9966,,,135.64795600000000,34.61767062824510,15,0,31024
31025,21,近鉄京都線,キンテツキョウトセン,近鉄京都線,#fab202,,,135.78559927915600,34.85398932929530,11,0,31025
31026,21,生駒ケーブル,イコマケーブル,近鉄生駒鋼索線,#dd9966,,,135.68880395239300,34.6858188007975,14,0,31026
31027,21,近鉄名古屋線,キンテツナゴヤセン,近鉄名古屋線,#153f97,,,136.6438729678630,34.94306110501110,10,0,31027
32001,22,南海本線,ナンカイホンセン,南海本線,#0065af,,,135.36203065520100,34.49540979409340,10,0,32001
32002,22,南海空港線,ナンカイクウコウセン,南海空港線,#594bac,,,135.2840674179690,34.423067923727000,12,0,32002
32003,22,南海和歌山港線,ナンカイワカヤマコウセン,南海和歌山港線,#0065af,,,135.1551397089840,34.23138085531330,13,0,32003
32004,22,南海高師浜線,ナンカイタカシノハマセン,南海高師浜線,#0065af,,,135.43873427514700,34.53069292333960,15,0,32004
32005,22,南海加太線,ナンカイカダセン,南海加太線,#0065af,,,135.1256245132360,34.26437499220280,12,0,32005
32006,22,南海多奈川線,ナンカイタナガワセン,南海多奈川線,#0065af,,,135.14480431347700,34.31836786223380,14,0,32006
32007,22,南海高野線,ナンカイコウヤセン,南海高野線,#009a41,,,135.54327309524,34.465338529446900,9,0,32007
32008,22,南海高野山ケーブル,ナンカイコウヤサンケーブル,南海高野山ケーブル,#009a41,,,135.5799343306890,34.231566237600400,15,0,32008
32009,22,南海汐見橋線,ナンカイシオミバシセン,南海汐見橋線,#009a41,,,135.4864026878220,34.6483515937348,13,0,32009
33001,23,京阪本線,ケイハンホンセン,京阪本線,#66cc33,,,135.67056437574500,34.84957679442570,10,0,33001
33002,23,京阪宇治線,ケイハンウジセン,京阪宇治線,#66cc33,,,135.78688991796900,34.91898737500000,13,0,33002
33003,23,京阪交野線,ケイハンカタノセン,京阪交野線,#66cc33,,,135.66786864086900,34.79400315604700,13,0,33003
33004,23,京阪鴨東線,ケイハンオウトウセン,京阪鴨東線,#66cc33,,,135.77218700529300,35.02313233660680,14,0,33004
33005,23,石清水八幡宮参道ケーブル,イワシミズハチマングウサンドウケーブル,京阪鋼索線,#66cc33,,,135.69970633862300,34.883348860758900,16,0,33005
33006,23,京阪石山坂本線,ケイハンイシヤマサカモトセン,京阪石山坂本線,#0099ff,,,135.87368751320900,35.02135481042170,12,0,33006
33007,23,京阪京津線,ケイハンケイシンセン,京阪京津線,#0099ff,,,135.83517567194100,35.00559947799590,13,0,33007
33008,23,京阪中之島線,ケイハンナカノシマセン,京阪中之島線,#66cc33,,,135.50042809311500,34.69339585417950,14,0,33008
34001,24,阪急神戸本線,ハンキュウコウベホンセン,阪急神戸本線,#0000FF,,,135.3535624765630,34.7358189257025,11,0,34001
34002,24,阪急宝塚本線,ハンキュウタカラヅカホンセン,阪急宝塚本線,#FF00CC,,,135.43434710526000,34.78606113792230,12,0,34002
34003,24,阪急京都本線,ハンキュウキョウトホンセン,阪急京都本線,#33CC00,,,135.6107341268840,34.86050585185200,10,0,34003
34004,24,阪急今津線,ハンキュウイマヅセン,阪急今津線,#0000FF,,,135.35466527514700,34.7706920461437,13,0,34004
34005,24,阪急甲陽線,ハンキュウコウヨウセン,阪急甲陽線,#0000FF,,,135.3287615079350,34.752838687945600,14,0,34005
34006,24,阪急伊丹線,ハンキュウイタミセン,阪急伊丹線,#0000FF,,,135.41460476586900,34.77006123301060,14,0,34006
